500 15
948 132 44
1444 460 45
12439 430 1
14335 246 39
31901 420 23
32950 339 7
34092 494 1
35608 47 5
38637 146 81
51655 77 53
54919 174 11
56312 348 28
58988 396 29
60158 172 49
64302 414 9
202 58988 25 203
203 58988 26 204
204 58988 27 205
205 58988 28 206
206 58988 29 1
207 0 0 0
208 60158 29 169
209 0 0 0
210 60158 47 473
211 0 0 0
212 60158 32 310
213 60158 39 368
214 948 9 215
215 948 10 216
216 948 11 217
217 948 12 218
218 948 13 219
219 948 14 434
220 60158 8 404
221 0 0 0
222 38637 78 223
223 38637 79 224
224 38637 80 225
225 38637 81 1
226 60158 22 482
227 1444 14 17
228 1444 12 189
229 0 0 0
230 60158 46 210
231 0 0 0
232 1444 6 71
233 0 0 0
234 948 41 235
235 948 42 236
236 948 43 237
237 948 44 1
238 1444 11 228
239 0 0 0
240 64302 5 52
241 0 0 0
242 0 0 0
243 0 0 0
244 60158 4 140
245 0 0 0
246 14335 1 247
247 14335 2 248
248 14335 3 249
249 14335 4 250
250 14335 5 251
251 14335 6 252
252 14335 7 253
253 14335 8 254
254 14335 9 255
255 14335 10 256
256 14335 11 257
257 14335 12 258
258 14335 13 259
259 14335 14 260
260 14335 15 261
261 14335 16 262
262 14335 17 263
263 14335 18 264
264 14335 19 265
265 14335 20 266
266 14335 21 267
267 14335 22 268
268 14335 23 269
269 14335 24 270
270 14335 25 271
271 14335 26 272
272 14335 27 273
273 14335 28 274
274 14335 29 275
275 14335 30 276
276 14335 31 277
277 14335 32 278
278 14335 33 279
279 14335 34 280
280 14335 35 281
281 14335 36 282
282 14335 37 283
283 14335 38 284
284 14335 39 1
285 38637 65 286
286 38637 66 287
287 38637 67 496
288 56312 12 30
289 0 0 0
290 60158 24 144
291 0 0 0
292 0 0 0
293 1444 38 417
294 60158 15 195
295 0 0 0
296 38637 8 297
297 38637 9 298
298 38637 10 299
299 38637 11 474
300 60158 26 8
301 0 0 0
302 1444 25 415
303 0 0 0
304 56312 19 370
305 0 0 0
306 60158 28 208
307 60158 43 372
308 0 0 0
309 0 0 0
310 60158 33 192
311 56312 5 54
312 0 0 0
313 0 0 0
314 0 0 0
315 1444 30 472
316 58988 19 317
317 58988 20 318
318 58988 21 319
319 58988 22 320
320 58988 23 321
321 58988 24 202
322 60158 21 226
323 0 0 0
324 60158 36 360
325 0 0 0
326 64302 4 240
327 0 0 0
328 60158 49 1
329 0 0 0
330 56312 16 158
331 1444 32 191
332 1444 20 28
333 1444 42 34
334 0 0 0
335 60158 19 418
336 60158 41 428
337 1444 24 302
338 64302 3 326
339 32950 1 340
340 32950 2 341
341 32950 3 342
342 32950 4 343
343 32950 5 344
344 32950 6 345
345 32950 7 1
346 0 0 0
347 56312 18 304
348 56312 1 196
349 0 0 0
350 60158 17 358
351 948 35 352
352 948 36 353
353 948 37 354
354 948 38 355
355 948 39 356
356 948 40 234
357 56312 9 170
358 60158 18 335
359 0 0 0
360 60158 37 380
361 1444 19 332
362 0 0 0
363 0 0 0
364 56312 4 311
365 0 0 0
366 60158 10 471
367 0 0 0
368 60158 40 336
369 1444 22 46
370 56312 20 153
371 0 0 0
372 60158 44 412
373 0 0 0
374 1444 16 55
375 56312 8 357
376 38637 41 377
377 38637 42 378
378 38637 43 379
379 38637 44 406
380 60158 38 213
381 0 0 0
382 38637 72 383
383 38637 73 384
384 38637 74 431
385 56312 23 493
386 0 0 0
387 56312 15 330
388 1444 8 186
389 0 0 0
390 38637 51 391
391 38637 52 392
392 38637 53 393
393 38637 54 72
394 60158 35 324
395 0 0 0
396 58988 1 397
397 58988 2 398
398 58988 3 399
399 58988 4 400
400 58988 5 401
401 58988 6 402
402 58988 7 403
403 58988 8 483
404 60158 9 366
405 0 0 0
406 38637 45 407
407 38637 46 408
408 38637 47 409
409 38637 48 410
410 38637 49 411
411 38637 50 390
412 60158 45 230
413 0 0 0
414 64302 1 461
415 1444 26 36
416 0 0 0
417 1444 39 6
418 60158 20 322
419 0 0 0
420 31901 1 421
421 31901 2 422
422 31901 3 423
423 31901 4 424
424 31901 5 425
425 31901 6 426
426 31901 7 427
427 31901 8 56
428 60158 42 307
429 0 0 0
430 12439 1 1
431 38637 75 432
432 38637 76 433
433 38637 77 222
434 948 15 435
435 948 16 436
436 948 17 437
437 948 18 438
438 948 19 439
439 948 20 440
440 948 21 441
441 948 22 161
442 64302 9 1
443 1444 44 197
444 948 31 445
445 948 32 446
446 948 33 447
447 948 34 351
448 60158 12 458
449 0 0 0
450 1444 18 361
451 0 0 0
452 38637 27 453
453 38637 28 454
454 38637 29 455
455 38637 30 456
456 38637 31 457
457 38637 32 11
458 60158 13 18
459 0 0 0
460 1444 1 462
461 64302 2 338
462 1444 2 142
463 0 0 0
464 56312 14 387
465 0 0 0
466 38637 36 467
467 38637 37 468
468 38637 38 469
469 38637 39 470
470 38637 40 376
471 60158 11 448
472 1444 31 331
473 60158 48 328
474 38637 12 475
475 38637 13 476
476 38637 14 477
477 38637 15 478
478 38637 16 479
479 38637 17 480
480 38637 18 481
481 38637 19 20
482 60158 23 290
483 58988 9 484
484 58988 10 485
485 58988 11 486
486 58988 12 487
487 58988 13 488
488 58988 14 489
489 58988 15 490
490 58988 16 491
491 58988 17 492
492 58988 18 316
493 56312 24 495
494 34092 1 1
495 56312 25 156
496 38637 68 497
497 38637 69 498
498 38637 70 499
499 38637 71 382
